##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
103.9995575	388.0832214	0	0
104.1995544	388.4929504	0	0
104.3995514	388.9039917	0	0
104.5995483	389.3163757	0	0
104.7995453	389.730072	0	0
104.9995422	390.1451111	0	0
105.1995392	390.5614624	0	0
105.3995361	390.979126	0	0
105.5995331	391.3981323	0	0
105.79953	391.8184814	0	0
105.999527	392.2401733	0	0
106.1995239	392.6631775	0	0
106.3995209	393.0875549	0	0
106.5995178	393.5132446	0	0
106.7995148	393.9403076	0	0
106.9995117	394.3687134	0	0
107.1995087	394.7984619	0	0
107.3995056	395.2295532	0	0
107.5995026	395.6620178	0	0
107.7994995	396.0958252	0	0
107.9994965	396.5310059	0	0
108.1994934	396.9675293	0	0
108.3994904	397.405426	0	0
108.5994873	397.844696	0	0
108.7994843	398.2853394	0	0
108.9994812	398.727356	0	0
109.1994781	399.1707458	0	0
109.3994751	399.6154785	0	0
109.599472	400.0616455	0	0
109.799469	400.5091553	0	0
109.9994659	400.9580688	0	0
110.1994629	401.4083557	0	0
110.3994598	401.8600464	0	0
110.5994568	402.3131104	0	0
110.7994537	402.7675781	0	0
110.9994507	403.2234497	0	0
111.1994476	403.6807251	0	0
111.3994446	404.1394043	0	0
111.5994415	404.5994568	0	0
111.7994385	405.0609436	0	0
111.9994354	405.5238342	0	0
112.1994324	405.9881287	0	0
112.3994293	406.4538574	0	0
112.5994263	406.92099	0	0
112.7994232	407.3895569	0	0
112.9994202	407.8595276	0	0
113.1994171	408.3309326	0	0
113.3994141	408.803772	0	0
113.599411	409.2780151	0	0
113.799408	409.7537231	0	0
113.9994049	410.230835	0	0
114.1994019	410.7094116	0	0
114.3993988	411.1894226	0	0
114.5993958	411.6708679	0	0
114.7993927	412.1537476	0	0
114.9993896	412.638092	0	0
115.1993866	413.1239014	0	0
115.3993835	413.611145	0	0
115.5993805	414.0998535	0	0
115.7993774	414.5900269	0	0
115.9993744	415.081665	0	0
116.1993713	415.5747375	0	0
116.3993683	416.0693054	0	0
116.5993652	416.5653381	0	0
116.7993622	417.0628357	0	0
116.9993591	417.5618286	0	0
117.1993561	418.0622864	0	0
117.399353	418.5642395	0	0
117.59935	419.0676575	0	0
117.7993469	419.5725708	0	0
117.9993439	420.0789795	0	0
118.1993408	420.5868835	0	0
118.3993378	421.096283	0	0
118.5993347	421.6071777	0	0
118.7993317	422.1195679	0	0
118.9993286	422.6334534	0	0
119.1993256	423.1488647	0	0
119.3993225	423.6657715	0	0
119.5993195	424.1842041	0	0
119.7993164	424.7041626	0	0
119.9993134	425.2256165	0	0
120.1993103	425.7486267	0	0
120.3993073	426.2731323	0	0
120.5993042	426.7991638	0	0
120.7993011	427.3267517	0	0
120.9992981	427.855835	0	0
121.199295	428.3865051	0	0
121.399292	428.9186707	0	0
121.5992889	429.4523926	0	0
121.7992859	429.9876709	0	0
121.9992828	430.5245056	0	0
122.1992798	431.0628967	0	0
122.3992767	431.6028137	0	0
122.5992737	432.1443176	0	0
122.7992706	432.6873474	0	0
122.9992676	433.2319946	0	0
123.1992645	433.7781677	0	0
123.3992615	434.3259277	0	0
123.5992584	434.8752747	0	0
123.7992554	435.426178	0	0
123.9992523	435.9786682	0	0
124.1992493	436.5327759	0	0
124.3992462	437.0884399	0	0
